CIM10;;"SFMU
SFMU";REGROUPEMENTS CIM10 FEDORU;;
K219;Reflux gastro-oesophagien (sans oesophagite);OUI;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Oesophagite et reflux gastro-oesophagien
K22;Autres maladies de l'oesophage;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;autres pathologies digestives et alimentaires
K220;Achalasie du cardia;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;autres pathologies digestives et alimentaires
K221;Ulcère de l'oesophage;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Gastrite, Ulcère Gastro-duodénal non hémorragique
K222;Obstruction de l'oesophage;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;autres pathologies digestives et alimentaires
K223;Perforation de l'oesophage;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;autres pathologies digestives et alimentaires
K224;Dyskinésie de l'oesophage;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;autres pathologies digestives et alimentaires
K225;Diverticule acquis de l'oesophage;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;autres pathologies digestives et alimentaires
K226;Syndrome de dilacération hémorragique gastro-oesophagienne;OUI;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Hémorragie digestive sans mention de péritonite
K227;Endobrachyoesophage;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;autres pathologies digestives et alimentaires
K228;Autres maladies précisées de l'oesophage;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;autres pathologies digestives et alimentaires
K229;Maladie de l'oesophage, sans précision;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;autres pathologies digestives et alimentaires
K23;Atteintes de l'oesophage au cours de maladies classées ailleurs;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;autres pathologies digestives et alimentaires
K230;Oesophagite tuberculeuse (A18.8);non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Oesophagite et reflux gastro-oesophagien
K231;Méga-oesophage au cours de la maladie de Chagas (B57.3);non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;autres pathologies digestives et alimentaires
K238;Atteintes de l'oesophage au cours d'autres maladies classées ailleurs;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;autres pathologies digestives et alimentaires
K2380;Oesophagite herpétique (B00.8);non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Oesophagite et reflux gastro-oesophagien
K2381;Oesophagite à candida (B37.8);non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Oesophagite et reflux gastro-oesophagien
K2388;Atteintes de l'oesophage au cours de maladies classées ailleurs, autres;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;autres pathologies digestives et alimentaires
K25;Ulcère de l'estomac;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Gastrite, Ulcère Gastro-duodénal non hémorragique
K250;Ulcère de l'estomac aigu, avec hémorragie;OUI;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Hémorragie digestive sans mention de péritonite
K251;Ulcère de l'estomac aigu, avec perforation;OUI;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Péritonite toute origine
K252;Ulcère de l'estomac aigu, avec hémorragie et perforation;OUI;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Péritonite toute origine
K253;Ulcère de l'estomac aigu, sans hémorragie ni perforation;OUI;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Gastrite, Ulcère Gastro-duodénal non hémorragique
K254;Ulcère de l'estomac chronique ou non précisé, avec hémorragie;OUI;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Hémorragie digestive sans mention de péritonite
K255;Ulcère de l'estomac chronique ou non précisé, avec perforation;OUI;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Péritonite toute origine
K256;Ulcère de l'estomac chronique ou non précisé, avec hémorragie et perforation;OUI;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Péritonite toute origine
K257;Ulcère de l'estomac chronique, sans hémorragie ni perforation;OUI;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Gastrite, Ulcère Gastro-duodénal non hémorragique
K259;Ulcère de l'estomac non précisé comme étant aigu ou chronique, sans hémorragie ni perforation;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Gastrite, Ulcère Gastro-duodénal non hémorragique
K26;Ulcère du duodénum;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Gastrite, Ulcère Gastro-duodénal non hémorragique
K260;Ulcère du duodénum aigu, avec hémorragie;OUI;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Hémorragie digestive sans mention de péritonite
K261;Ulcère du duodénum aigu, avec perforation;OUI;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Péritonite toute origine
K262;Ulcère du duodénum aigu, avec hémorragie et perforation;OUI;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Péritonite toute origine
K263;Ulcère du duodénum aigu, sans hémorragie ni perforation;OUI;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Gastrite, Ulcère Gastro-duodénal non hémorragique
K264;Ulcère du duodénum chronique ou non précisé, avec hémorragie;OUI;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Hémorragie digestive sans mention de péritonite
K265;Ulcère du duodénum chronique ou non précisé, avec perforation;OUI;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Péritonite toute origine
K266;Ulcère du duodénum chronique ou non précisé, avec hémorragie et perforation;OUI;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Péritonite toute origine
K267;Ulcère du duodénum chronique, sans hémorragie ni perforation;OUI;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Gastrite, Ulcère Gastro-duodénal non hémorragique
K269;Ulcère du duodénum non précisé comme étant aigu ou chronique, sans hémorragie ni perforation;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Gastrite, Ulcère Gastro-duodénal non hémorragique
K27;Ulcère digestif, de siège non précisé;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Gastrite, Ulcère Gastro-duodénal non hémorragique
K270;Ulcère digestif, de siège non précisé, aigu avec hémorragie;OUI;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Hémorragie digestive sans mention de péritonite
K271;Ulcère digestif, de siège non précisé, aigu avec perforation;OUI;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Péritonite toute origine
K272;Ulcère digestif, de siège non précisé, aigu avec hémorragie et perforation;OUI;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Péritonite toute origine
K273;Ulcère digestif, de siège non précisé, aigu sans hémorragie ni perforation;OUI;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Gastrite, Ulcère Gastro-duodénal non hémorragique
K274;Ulcère digestif, de siège non précisé, chronique ou non précisé, avec hémorragie;OUI;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Hémorragie digestive sans mention de péritonite
K275;Ulcère digestif, de siège non précisé, chronique ou non précisé, avec perforation;OUI;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Péritonite toute origine
K276;Ulcère digestif, de siège non précisé, chronique ou non précisé, avec hémorragie et perforation;OUI;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Péritonite toute origine
K277;Ulcère digestif, de siège non précisé, chronique sans hémorragie ni perforation;OUI;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Gastrite, Ulcère Gastro-duodénal non hémorragique
K279;Ulcère digestif, de siège non précisé, non précisé comme étant aigu ou chronique, sans hémorragie ni perforation;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Gastrite, Ulcère Gastro-duodénal non hémorragique
K28;Ulcère gastro-jéjunal;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Gastrite, Ulcère Gastro-duodénal non hémorragique
K280;Ulcère gastro-jéjunal aigu, avec hémorragie;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Hémorragie digestive sans mention de péritonite
K281;Ulcère gastro-jéjunal aigu, avec perforation;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Péritonite toute origine
K282;Ulcère gastro-jéjunal aigu, avec hémorragie et perforation;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Péritonite toute origine
K283;Ulcère gastro-jéjunal aigu, sans hémorragie ni perforation;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Gastrite, Ulcère Gastro-duodénal non hémorragique
K284;Ulcère gastro-jéjunal chronique ou non précisé, avec hémorragie;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Hémorragie digestive sans mention de péritonite
K285;Ulcère gastro-jéjunal chronique ou non précisé, avec perforation;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Péritonite toute origine
K286;Ulcère gastro-jéjunal chronique ou non précisé, avec hémorragie et perforation;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Péritonite toute origine
K287;Ulcère gastro-jéjunal chronique, sans hémorragie ni perforation;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Gastrite, Ulcère Gastro-duodénal non hémorragique
K289;Ulcère gastro-jéjunal non précisé comme étant aigu ou chronique, sans hémorragie ni perforation;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Gastrite, Ulcère Gastro-duodénal non hémorragique
K29;Gastrite et duodénite;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Gastrite, Ulcère Gastro-duodénal non hémorragique
K290;Gastrite hémorragique aiguë;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Gastrite, Ulcère Gastro-duodénal non hémorragique
K291;Autres gastrites aiguës;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Gastrite, Ulcère Gastro-duodénal non hémorragique
K292;Gastrite alcoolique;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Gastrite, Ulcère Gastro-duodénal non hémorragique
K293;Gastrite chronique superficielle;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Gastrite, Ulcère Gastro-duodénal non hémorragique
K294;Gastrite (chronique) atrophique;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Gastrite, Ulcère Gastro-duodénal non hémorragique
K295;Gastrite chronique, sans précision;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Gastrite, Ulcère Gastro-duodénal non hémorragique
K296;Autres gastrites;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Gastrite, Ulcère Gastro-duodénal non hémorragique
K297;Gastrite, sans précision;OUI;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Gastrite, Ulcère Gastro-duodénal non hémorragique
K298;Duodénite;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Gastrite, Ulcère Gastro-duodénal non hémorragique
K299;Gastro-duodénite, sans précision;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Gastrite, Ulcère Gastro-duodénal non hémorragique
K30;Dyspepsie;OUI;Médico-chirurgical;Douleurs abdominales, pathologies digestives;autres pathologies digestives et alimentaires
K31;Autres maladies de l'estomac et du duodénum;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;autres pathologies digestives et alimentaires
K310;Dilatation aiguë de l'estomac;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;autres pathologies digestives et alimentaires
K311;Sténose pylorique (hypertrophique de l'adulte);non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;autres pathologies digestives et alimentaires
K312;Estomac en sablier et sténose de l'estomac;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;autres pathologies digestives et alimentaires
K313;Spasme du pylore, non classé ailleurs;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;autres pathologies digestives et alimentaires
K314;Diverticule gastrique;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;autres pathologies digestives et alimentaires
K315;Obstruction du duodénum;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;autres pathologies digestives et alimentaires
K316;Fistule de l'estomac et du duodénum;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;autres pathologies digestives et alimentaires
K317;Polype de l'estomac et du duodénum;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;autres pathologies digestives et alimentaires
K318;Autres maladies précisées de l'estomac et du duodénum;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;autres pathologies digestives et alimentaires
K319;Maladie de l'estomac et du duodénum, sans précision;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;autres pathologies digestives et alimentaires
K35;Appendicite aiguë;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Appendicite et autre pathologie appendiculaire
K350;Appendicite (aiguë) avec péritonite généralisée;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Péritonite toute origine
K351;Appendicite aiguë avec abcès péritonéal;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Péritonite toute origine
K352;Appendicite aigüe avec péritonite généralisée;OUI;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Péritonite toute origine
K353;Appendicite aigüe avec péritonite localisée;OUI;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Péritonite toute origine
K358;Appendicites aigües, autres et non précisées;OUI;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Appendicite et autre pathologie appendiculaire
K359;Appendicite aiguë, sans précision;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Appendicite et autre pathologie appendiculaire
K36;Autres formes d'appendicite;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Appendicite et autre pathologie appendiculaire
K37;Appendicite, sans précision;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Appendicite et autre pathologie appendiculaire
K38;Autres maladies de l'appendice;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Appendicite et autre pathologie appendiculaire
K380;Hyperplasie de l'appendice;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Appendicite et autre pathologie appendiculaire
K381;Concrétions appendiculaires;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Appendicite et autre pathologie appendiculaire
K382;Diverticule de l'appendice;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Appendicite et autre pathologie appendiculaire
K383;Fistule de l'appendice;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Appendicite et autre pathologie appendiculaire
K388;Autres maladies précisées de l'appendice;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Appendicite et autre pathologie appendiculaire
K389;Maladie de l'appendice, sans précision;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Appendicite et autre pathologie appendiculaire
K40;Hernie inguinale;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;autres pathologies digestives et alimentaires
K400;Hernie inguinale bilatérale, avec occlusion, sans gangrène;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Occlusion toute origine
K401;Hernie inguinale bilatérale, avec gangrène;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Péritonite toute origine
K402;Hernie inguinale bilatérale, (sans occlusion ni gangrène);non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;autres pathologies digestives et alimentaires
K403;Hernie inguinale, (unilatérale ou) sans précision, avec occlusion, sans gangrène;OUI;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Occlusion toute origine
K404;Hernie inguinale, (unilatérale ou) sans précision, avec gangrène;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Péritonite toute origine
K409;Hernie inguinale, (unilatérale ou) sans précision(, sans occlusion ni gangrène);OUI;Médico-chirurgical;Douleurs abdominales, pathologies digestives;autres pathologies digestives et alimentaires
K41;Hernie crurale;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;autres pathologies digestives et alimentaires
K410;Hernie crurale bilatérale, avec occlusion, sans gangrène;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Occlusion toute origine
K411;Hernie crurale bilatérale, avec gangrène;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Péritonite toute origine
K412;Hernie crurale bilatérale, (sans occlusion ni gangrène);non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;autres pathologies digestives et alimentaires
K413;Hernie crurale, (unilatérale ou) sans précision, avec occlusion, sans gangrène;OUI;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Occlusion toute origine
K414;Hernie crurale, (unilatérale ou) sans précision, avec gangrène;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Péritonite toute origine
K419;Hernie crurale, (unilatérale ou) sans précision, (sans occlusion ni gangrène);OUI;Médico-chirurgical;Douleurs abdominales, pathologies digestives;autres pathologies digestives et alimentaires
K42;Hernie ombilicale;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;autres pathologies digestives et alimentaires
K420;Hernie ombilicale, avec occlusion, sans gangrène;OUI;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Occlusion toute origine
K421;Hernie ombilicale, avec gangrène;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Péritonite toute origine
K429;Hernie ombilicale, (sans occlusion ni gangrène);non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;autres pathologies digestives et alimentaires
K43;Autres hernies de la paroi abdominale antérieure;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;autres pathologies digestives et alimentaires
K430;Autres hernies de la paroi abdominale antérieure, avec occlusion, sans gangrène;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Occlusion toute origine
K431;Autres hernies de la paroi abdominale antérieure, avec gangrène;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Péritonite toute origine
K432;"Éventration post-opératoire, sans occlusion ni gangrène
Éventration postopératoire SAI";non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;autres pathologies digestives et alimentaires
K433;Hernie péristomiale, avec occlusion sans gangrène;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Occlusion toute origine
K434;Hernie péristomiale, avec gangrène;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Péritonite toute origine
K435;Hernie péristomiale, sans occlusion ni gangrène;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;autres pathologies digestives et alimentaires
K436;Hernie de la paroi abdominale antérieure autre et non précisée, avec occlusion sans gangrène;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Occlusion toute origine
K437;Hernie de la paroi abdominale antérieure autre et non précisée, avec gangrène;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Péritonite toute origine
K439;Autres hernies de la paroi abdominale antérieure, (sans occlusion ni gangrène);OUI;Médico-chirurgical;Douleurs abdominales, pathologies digestives;autres pathologies digestives et alimentaires
K44;Hernie diaphragmatique;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;autres pathologies digestives et alimentaires
K440;Hernie diaphragmatique, avec occlusion, sans gangrène;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Occlusion toute origine
K441;Hernie diaphragmatique, avec gangrène;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Péritonite toute origine
K449;Hernie diaphragmatique, (sans occlusion ni gangrène);OUI;Médico-chirurgical;Douleurs abdominales, pathologies digestives;autres pathologies digestives et alimentaires
K45;Autres hernies abdominales;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;autres pathologies digestives et alimentaires
K450;Autres hernies abdominales de siège précisé, avec occlusion, sans gangrène;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Occlusion toute origine
K451;Autres hernies abdominales précisées, avec gangrène;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Péritonite toute origine
K458;Autres hernies abdominales précisées, sans occlusion ni gangrène;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;autres pathologies digestives et alimentaires
K46;Hernie abdominale non précisée;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;autres pathologies digestives et alimentaires
K460;Hernie abdominale non précisée, avec occlusion, sans gangrène;OUI;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Occlusion toute origine
K461;Hernie abdominale non précisée, avec gangrène;OUI;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Péritonite toute origine
K469;Hernie abdominale non précisée, (sans occlusion ni gangrène);OUI;Médico-chirurgical;Douleurs abdominales, pathologies digestives;autres pathologies digestives et alimentaires
K50;Maladie de Crohn [entérite régionale];non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;autres pathologies digestives et alimentaires
K500;Maladie de Crohn de l'intestin grêle;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;autres pathologies digestives et alimentaires
K501;Maladie de Crohn du gros intestin;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;autres pathologies digestives et alimentaires
K508;Autres formes de la maladie de Crohn;OUI;Médico-chirurgical;Douleurs abdominales, pathologies digestives;autres pathologies digestives et alimentaires
K509;Maladie de Crohn, sans précision;OUI;Médico-chirurgical;Douleurs abdominales, pathologies digestives;autres pathologies digestives et alimentaires
K51;Recto-colite hémorragique [colite ulcéreuse];non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;autres pathologies digestives et alimentaires
K510;Pancolite ulcéreuse (chronique);OUI;Médico-chirurgical;Douleurs abdominales, pathologies digestives;autres pathologies digestives et alimentaires
K511;Iléo-colite ulcéreuse (chronique);non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;autres pathologies digestives et alimentaires
K512;Rectite ulcéreuse (chronique);non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;autres pathologies digestives et alimentaires
K513;Recto-sigmoïdite ulcéreuse (chronique);non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;autres pathologies digestives et alimentaires
K514;Polypes coliques inflammatoires;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;autres pathologies digestives et alimentaires
K515;Colite ulcéreuse gauche;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;autres pathologies digestives et alimentaires
K518;Autres recto-colites hémorragiques;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;autres pathologies digestives et alimentaires
K519;Recto-colite hémorragique, sans précision;OUI;Médico-chirurgical;Douleurs abdominales, pathologies digestives;autres pathologies digestives et alimentaires
K52;Autres gastro-entérites et colites non infectieuses;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Diarrhée et gastro-entérite
K520;Gastro-entérite et colite dues à une irradiation;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Diarrhée et gastro-entérite
K521;Gastro-entérite et colite toxiques;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Diarrhée et gastro-entérite
K522;Gastro-entérite et colite allergiques et alimentaires;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Diarrhée et gastro-entérite
K523;Colite d'origine indéterminée;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Diarrhée et gastro-entérite
K528;Autres gastro-entérites et colites non infectieuses précisées;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Diarrhée et gastro-entérite
K529;Gastro-entérite et colite non infectieuses, sans précision;OUI;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Diarrhée et gastro-entérite
K55;Troubles vasculaires de l'intestin;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;autres pathologies digestives et alimentaires
K550;Troubles vasculaires aigus de l'intestin;OUI;Médico-chirurgical;Douleurs abdominales, pathologies digestives;autres pathologies digestives et alimentaires
K551;Troubles vasculaires chroniques de l'intestin;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;autres pathologies digestives et alimentaires
K552;Angiodysplasie du côlon;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;autres pathologies digestives et alimentaires
K558;Autres troubles vasculaires de l'intestin;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;autres pathologies digestives et alimentaires
K559;Trouble vasculaire de l'intestin, sans précision;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;autres pathologies digestives et alimentaires
K56;Iléus paralytique et occlusion intestinale sans hernie;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Occlusion toute origine
K560;Iléus paralytique;OUI;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Occlusion toute origine
K561;Invagination (intestinale);OUI;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Occlusion toute origine
K562;Volvulus (intestinal);OUI;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Occlusion toute origine
K563;Iléus biliaire;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Occlusion toute origine
K564;Autres obstructions de l'intestin;OUI;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Occlusion toute origine
K565;Adhérences de l'intestin (brides), avec occlusion;OUI;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Occlusion toute origine
K566;Occlusions intestinales, autres et sans précision;OUI;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Occlusion toute origine
K567;Iléus, sans précision;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Occlusion toute origine
K57;Diverticulose de l'intestin;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Constipation et autre trouble fonctionnel intestinal
K570;Diverticulose de l'intestin grêle, avec perforation et abcès;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Péritonite toute origine
K571;Diverticulose de l'intestin grêle, (sans perforation ni abcès);non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Constipation et autre trouble fonctionnel intestinal
K572;Diverticulose du côlon, avec perforation et abcès;OUI;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Péritonite toute origine
K573;Diverticulose du côlon, (sans perforation ni abcès);OUI;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Constipation et autre trouble fonctionnel intestinal
K574;Diverticulose du côlon et de l'intestin grêle, avec perforation et abcès;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Péritonite toute origine
K575;Diverticulose du côlon et de l'intestin grêle, (sans perforation ni abcès);non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Constipation et autre trouble fonctionnel intestinal
K578;Diverticulose de l'intestin (siège non précisé), avec perforation et abcès;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Péritonite toute origine
K579;Diverticulose de l'intestin, (siège non précisé, sans perforation ni abcès);OUI;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Constipation et autre trouble fonctionnel intestinal
K58;Syndrome de l'intestin irritable;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Constipation et autre trouble fonctionnel intestinal
K580;Syndrome de l'intestin irritable, avec diarrhée;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Diarrhée et gastro-entérite
K589;Syndrome de l'intestin irritable, (sans diarrhée);non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Constipation et autre trouble fonctionnel intestinal
K59;Autres troubles fonctionnels de l'intestin;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Constipation et autre trouble fonctionnel intestinal
K590;Constipation;OUI;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Constipation et autre trouble fonctionnel intestinal
K591;Diarrhée fonctionnelle;OUI;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Diarrhée et gastro-entérite
K592;Intestin neurogène, non classé ailleurs;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Constipation et autre trouble fonctionnel intestinal
K593;Mégacôlon, non classé ailleurs;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Constipation et autre trouble fonctionnel intestinal
K594;Spasme de l'anus;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Proctologie
K598;Autres troubles fonctionnels précisés de l'intestin;OUI;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Constipation et autre trouble fonctionnel intestinal
K599;Trouble fonctionnel de l'intestin, sans précision;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Constipation et autre trouble fonctionnel intestinal
K60;Fissure et fistule des régions anale et rectale;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Proctologie
K600;Fissure anale aiguë;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Proctologie
