"CODE ","REGROUPEMENTS ORUMIPS",,,,,,,,,,,
"CIM10","Code Type Urgences","Libéllé Type Urgences","Code Discipline / Topographie","Libellé Discipline / Topographie","Code Type Pathologie","Libéllé Type de Pathologie",,,,,,
"F419","PSY","Psychiatrique","PSY","Troubles du psychisme"," pathologies psychiatriques","PSY02","Angoisse"," stress"," trouble névrotique ou somatoforme",,,
"F429","PSY","Psychiatrique","PSY","Troubles du psychisme"," pathologies psychiatriques","PSY02","Angoisse"," stress"," trouble névrotique ou somatoforme",,,
"F430","PSY","Psychiatrique","PSY","Troubles du psychisme"," pathologies psychiatriques","PSY02","Angoisse"," stress"," trouble névrotique ou somatoforme",,,
"F431","PSY","Psychiatrique","PSY","Troubles du psychisme"," pathologies psychiatriques","PSY02","Angoisse"," stress"," trouble névrotique ou somatoforme",,,
"F432","PSY","Psychiatrique","PSY","Troubles du psychisme"," pathologies psychiatriques","PSY02","Angoisse"," stress"," trouble névrotique ou somatoforme",,,
"F448","PSY","Psychiatrique","PSY","Troubles du psychisme"," pathologies psychiatriques","PSY02","Angoisse"," stress"," trouble névrotique ou somatoforme",,,
"F450","PSY","Psychiatrique","PSY","Troubles du psychisme"," pathologies psychiatriques","PSY02","Angoisse"," stress"," trouble névrotique ou somatoforme",,,
"F452","PSY","Psychiatrique","PSY","Troubles du psychisme"," pathologies psychiatriques","PSY02","Angoisse"," stress"," trouble névrotique ou somatoforme",,,
"F4533","PSY","Psychiatrique","PSY","Troubles du psychisme"," pathologies psychiatriques","PSY02","Angoisse"," stress"," trouble névrotique ou somatoforme",,,
"F459","PSY","Psychiatrique","PSY","Troubles du psychisme"," pathologies psychiatriques","PSY02","Angoisse"," stress"," trouble névrotique ou somatoforme",,,
"F480","PSY","Psychiatrique","PSY","Troubles du psychisme"," pathologies psychiatriques","PSY02","Angoisse"," stress"," trouble névrotique ou somatoforme",,,
"F488","PSY","Psychiatrique","PSY","Troubles du psychisme"," pathologies psychiatriques","PSY02","Angoisse"," stress"," trouble névrotique ou somatoforme",,,
"F489","PSY","Psychiatrique","PSY","Troubles du psychisme"," pathologies psychiatriques","PSY02","Angoisse"," stress"," trouble névrotique ou somatoforme",,,
"F500","PSY","Psychiatrique","PSY","Troubles du psychisme"," pathologies psychiatriques","PSY01","Agitation"," trouble de personnalité et du comportement",,,,
"F502","PSY","Psychiatrique","PSY","Troubles du psychisme"," pathologies psychiatriques","PSY01","Agitation"," trouble de personnalité et du comportement",,,,
"F509","PSY","Psychiatrique","PSY","Troubles du psychisme"," pathologies psychiatriques","PSY01","Agitation"," trouble de personnalité et du comportement",,,,
"F519","PSY","Psychiatrique","PSY","Troubles du psychisme"," pathologies psychiatriques","PSY01","Agitation"," trouble de personnalité et du comportement",,,,
"F531","PSY","Psychiatrique","PSY","Troubles du psychisme"," pathologies psychiatriques","PSY01","Agitation"," trouble de personnalité et du comportement",,,,
"F600","PSY","Psychiatrique","PSY","Troubles du psychisme"," pathologies psychiatriques","PSY01","Agitation"," trouble de personnalité et du comportement",,,,
"F602","PSY","Psychiatrique","PSY","Troubles du psychisme"," pathologies psychiatriques","PSY01","Agitation"," trouble de personnalité et du comportement",,,,
"F6030","PSY","Psychiatrique","PSY","Troubles du psychisme"," pathologies psychiatriques","PSY01","Agitation"," trouble de personnalité et du comportement",,,,
"F604","PSY","Psychiatrique","PSY","Troubles du psychisme"," pathologies psychiatriques","PSY01","Agitation"," trouble de personnalité et du comportement",,,,
"F609","PSY","Psychiatrique","PSY","Troubles du psychisme"," pathologies psychiatriques","PSY01","Agitation"," trouble de personnalité et du comportement",,,,
"F69","PSY","Psychiatrique","PSY","Troubles du psychisme"," pathologies psychiatriques","PSY01","Agitation"," trouble de personnalité et du comportement",,,,
"F799","PSY","Psychiatrique","PSY","Troubles du psychisme"," pathologies psychiatriques","PSY01","Agitation"," trouble de personnalité et du comportement",,,,
"F89","PSY","Psychiatrique","PSY","Troubles du psychisme"," pathologies psychiatriques","PSY01","Agitation"," trouble de personnalité et du comportement",,,,
"F910","PSY","Psychiatrique","PSY","Troubles du psychisme"," pathologies psychiatriques","PSY01","Agitation"," trouble de personnalité et du comportement",,,,
"F911","PSY","Psychiatrique","PSY","Troubles du psychisme"," pathologies psychiatriques","PSY01","Agitation"," trouble de personnalité et du comportement",,,,
"F919","PSY","Psychiatrique","PSY","Troubles du psychisme"," pathologies psychiatriques","PSY01","Agitation"," trouble de personnalité et du comportement",,,,
"F928","PSY","Psychiatrique","PSY","Troubles du psychisme"," pathologies psychiatriques","PSY01","Agitation"," trouble de personnalité et du comportement",,,,
"F980","PSY","Psychiatrique","PSY","Troubles du psychisme"," pathologies psychiatriques","PSY01","Agitation"," trouble de personnalité et du comportement",,,,
"F981","PSY","Psychiatrique","PSY","Troubles du psychisme"," pathologies psychiatriques","PSY01","Agitation"," trouble de personnalité et du comportement",,,,
"G000","MED-CHIR","Médico-chirurgical","NEURO","Céphalées"," pathologies neurologiques hors SNP","NEURO06","Méningisme"," méningite"," encéphalite et infections du SNC",,,
"G001","MED-CHIR","Médico-chirurgical","NEURO","Céphalées"," pathologies neurologiques hors SNP","NEURO06","Méningisme"," méningite"," encéphalite et infections du SNC",,,
"G002","MED-CHIR","Médico-chirurgical","NEURO","Céphalées"," pathologies neurologiques hors SNP","NEURO06","Méningisme"," méningite"," encéphalite et infections du SNC",,,
"G009","MED-CHIR","Médico-chirurgical","NEURO","Céphalées"," pathologies neurologiques hors SNP","NEURO06","Méningisme"," méningite"," encéphalite et infections du SNC",,,
"G01","MED-CHIR","Médico-chirurgical","NEURO","Céphalées"," pathologies neurologiques hors SNP","NEURO06","Méningisme"," méningite"," encéphalite et infections du SNC",,,
"G020","MED-CHIR","Médico-chirurgical","NEURO","Céphalées"," pathologies neurologiques hors SNP","NEURO06","Méningisme"," méningite"," encéphalite et infections du SNC",,,
"G021","MED-CHIR","Médico-chirurgical","NEURO","Céphalées"," pathologies neurologiques hors SNP","NEURO06","Méningisme"," méningite"," encéphalite et infections du SNC",,,
"G039","MED-CHIR","Médico-chirurgical","NEURO","Céphalées"," pathologies neurologiques hors SNP","NEURO06","Méningisme"," méningite"," encéphalite et infections du SNC",,,
"G049","MED-CHIR","Médico-chirurgical","NEURO","Céphalées"," pathologies neurologiques hors SNP","NEURO06","Méningisme"," méningite"," encéphalite et infections du SNC",,,
"G051","MED-CHIR","Médico-chirurgical","NEURO","Céphalées"," pathologies neurologiques hors SNP","NEURO06","Méningisme"," méningite"," encéphalite et infections du SNC",,,
"G060","MED-CHIR","Médico-chirurgical","NEURO","Céphalées"," pathologies neurologiques hors SNP","NEURO06","Méningisme"," méningite"," encéphalite et infections du SNC",,,
"G08","MED-CHIR","Médico-chirurgical","NEURO","Céphalées"," pathologies neurologiques hors SNP","NEURO06","Méningisme"," méningite"," encéphalite et infections du SNC",,,
"G20","MED-CHIR","Médico-chirurgical","NEURO","Céphalées"," pathologies neurologiques hors SNP","NEURO08","Troubles sensitifs"," moteurs et toniques autres",,,,
"G210","MED-CHIR","Médico-chirurgical","NEURO","Céphalées"," pathologies neurologiques hors SNP","NEURO08","Troubles sensitifs"," moteurs et toniques autres",,,,
"G211","MED-CHIR","Médico-chirurgical","NEURO","Céphalées"," pathologies neurologiques hors SNP","NEURO08","Troubles sensitifs"," moteurs et toniques autres",,,,
"G240","MED-CHIR","Médico-chirurgical","NEURO","Céphalées"," pathologies neurologiques hors SNP","NEURO08","Troubles sensitifs"," moteurs et toniques autres",,,,
"G249","MED-CHIR","Médico-chirurgical","NEURO","Céphalées"," pathologies neurologiques hors SNP","NEURO08","Troubles sensitifs"," moteurs et toniques autres",,,,
"G309","MED-CHIR","Médico-chirurgical","NEURO","Céphalées"," pathologies neurologiques hors SNP","NEURO04","Désorientation et troubles cognitifs",,,,,
"G311","MED-CHIR","Médico-chirurgical","NEURO","Céphalées"," pathologies neurologiques hors SNP","NEURO04","Désorientation et troubles cognitifs",,,,,
"G312","MED-CHIR","Médico-chirurgical","NEURO","Céphalées"," pathologies neurologiques hors SNP","NEURO04","Désorientation et troubles cognitifs",,,,,
"G318","MED-CHIR","Médico-chirurgical","NEURO","Céphalées"," pathologies neurologiques hors SNP","NEURO04","Désorientation et troubles cognitifs",,,,,
"G35","MED-CHIR","Médico-chirurgical","NEURO","Céphalées"," pathologies neurologiques hors SNP","NEURO08","Troubles sensitifs"," moteurs et toniques autres",,,,
"G401","MED-CHIR","Médico-chirurgical","NEURO","Céphalées"," pathologies neurologiques hors SNP","NEURO05","Epilepsie et convulsions",,,,,
"G403","MED-CHIR","Médico-chirurgical","NEURO","Céphalées"," pathologies neurologiques hors SNP","NEURO05","Epilepsie et convulsions",,,,,
"G407","MED-CHIR","Médico-chirurgical","NEURO","Céphalées"," pathologies neurologiques hors SNP","NEURO05","Epilepsie et convulsions",,,,,
"G409","MED-CHIR","Médico-chirurgical","NEURO","Céphalées"," pathologies neurologiques hors SNP","NEURO05","Epilepsie et convulsions",,,,,
"G410","MED-CHIR","Médico-chirurgical","NEURO","Céphalées"," pathologies neurologiques hors SNP","NEURO05","Epilepsie et convulsions",,,,,
"G412","MED-CHIR","Médico-chirurgical","NEURO","Céphalées"," pathologies neurologiques hors SNP","NEURO05","Epilepsie et convulsions",,,,,
"G419","MED-CHIR","Médico-chirurgical","NEURO","Céphalées"," pathologies neurologiques hors SNP","NEURO05","Epilepsie et convulsions",,,,,
"G430","MED-CHIR","Médico-chirurgical","NEURO","Céphalées"," pathologies neurologiques hors SNP","NEURO07","Migraine et céphalées",,,,,
"G431","MED-CHIR","Médico-chirurgical","NEURO","Céphalées"," pathologies neurologiques hors SNP","NEURO07","Migraine et céphalées",,,,,
"G432","MED-CHIR","Médico-chirurgical","NEURO","Céphalées"," pathologies neurologiques hors SNP","NEURO07","Migraine et céphalées",,,,,
"G433","MED-CHIR","Médico-chirurgical","NEURO","Céphalées"," pathologies neurologiques hors SNP","NEURO07","Migraine et céphalées",,,,,
"G439","MED-CHIR","Médico-chirurgical","NEURO","Céphalées"," pathologies neurologiques hors SNP","NEURO07","Migraine et céphalées",,,,,
"G440","MED-CHIR","Médico-chirurgical","NEURO","Céphalées"," pathologies neurologiques hors SNP","NEURO07","Migraine et céphalées",,,,,
"G442","MED-CHIR","Médico-chirurgical","NEURO","Céphalées"," pathologies neurologiques hors SNP","NEURO07","Migraine et céphalées",,,,,
"G450","MED-CHIR","Médico-chirurgical","NEURO","Céphalées"," pathologies neurologiques hors SNP","NEURO02","AVC"," AIT"," hémiplégie et syndrômes apparentés",,,
"G451","MED-CHIR","Médico-chirurgical","NEURO","Céphalées"," pathologies neurologiques hors SNP","NEURO02","AVC"," AIT"," hémiplégie et syndrômes apparentés",,,
"G453","MED-CHIR","Médico-chirurgical","NEURO","Céphalées"," pathologies neurologiques hors SNP","NEURO02","AVC"," AIT"," hémiplégie et syndrômes apparentés",,,
"G454","MED-CHIR","Médico-chirurgical","NEURO","Céphalées"," pathologies neurologiques hors SNP","NEURO02","AVC"," AIT"," hémiplégie et syndrômes apparentés",,,
"G459","MED-CHIR","Médico-chirurgical","NEURO","Céphalées"," pathologies neurologiques hors SNP","NEURO02","AVC"," AIT"," hémiplégie et syndrômes apparentés",,,
"G473","MED-CHIR","Médico-chirurgical","NEURO","Céphalées"," pathologies neurologiques hors SNP","NEURO03","Comas"," tumeurs"," encéphalopathies et autre atteinte du SNC",,,
"G474","MED-CHIR","Médico-chirurgical","NEURO","Céphalées"," pathologies neurologiques hors SNP","NEURO03","Comas"," tumeurs"," encéphalopathies et autre atteinte du SNC",,,
"G500","MED-CHIR","Médico-chirurgical","NEURO","Céphalées"," pathologies neurologiques hors SNP","NEURO01","Atteintes de nerfs crâniens",,,,,
"G510","MED-CHIR","Médico-chirurgical","NEURO","Céphalées"," pathologies neurologiques hors SNP","NEURO01","Atteintes de nerfs crâniens",,,,,
"G518","MED-CHIR","Médico-chirurgical","NEURO","Céphalées"," pathologies neurologiques hors SNP","NEURO01","Atteintes de nerfs crâniens",,,,,
"G542","MED-CHIR","Médico-chirurgical","RHUMATO","Douleurs de membre"," rhumatologie"," orthopédie"," SNP","RHUMATO02","Cervicalgie"," névralgie et autre atteinte cervicale",,
"G549","MED-CHIR","Médico-chirurgical","RHUMATO","Douleurs de membre"," rhumatologie"," orthopédie"," SNP","RHUMATO07","autre rhumato et syst nerveux périphérique",,,
"G560","MED-CHIR","Médico-chirurgical","RHUMATO","Douleurs de membre"," rhumatologie"," orthopédie"," SNP","RHUMATO07","autre rhumato et syst nerveux périphérique",,,
"G580","MED-CHIR","Médico-chirurgical","RHUMATO","Douleurs de membre"," rhumatologie"," orthopédie"," SNP","RHUMATO07","autre rhumato et syst nerveux périphérique",,,
"G589","MED-CHIR","Médico-chirurgical","RHUMATO","Douleurs de membre"," rhumatologie"," orthopédie"," SNP","RHUMATO07","autre rhumato et syst nerveux périphérique",,,
"G610","MED-CHIR","Médico-chirurgical","NEURO","Céphalées"," pathologies neurologiques hors SNP","NEURO08","Troubles sensitifs"," moteurs et toniques autres",,,,
"G629","MED-CHIR","Médico-chirurgical","NEURO","Céphalées"," pathologies neurologiques hors SNP","NEURO08","Troubles sensitifs"," moteurs et toniques autres",,,,
"G632","MED-CHIR","Médico-chirurgical","NEURO","Céphalées"," pathologies neurologiques hors SNP","NEURO08","Troubles sensitifs"," moteurs et toniques autres",,,,
"G64","MED-CHIR","Médico-chirurgical","NEURO","Céphalées"," pathologies neurologiques hors SNP","NEURO08","Troubles sensitifs"," moteurs et toniques autres",,,,
"G700","MED-CHIR","Médico-chirurgical","NEURO","Céphalées"," pathologies neurologiques hors SNP","NEURO08","Troubles sensitifs"," moteurs et toniques autres",,,,
"G710","MED-CHIR","Médico-chirurgical","NEURO","Céphalées"," pathologies neurologiques hors SNP","NEURO08","Troubles sensitifs"," moteurs et toniques autres",,,,
"G711","MED-CHIR","Médico-chirurgical","NEURO","Céphalées"," pathologies neurologiques hors SNP","NEURO08","Troubles sensitifs"," moteurs et toniques autres",,,,
"G719","MED-CHIR","Médico-chirurgical","NEURO","Céphalées"," pathologies neurologiques hors SNP","NEURO08","Troubles sensitifs"," moteurs et toniques autres",,,,
"G8100","MED-CHIR","Médico-chirurgical","NEURO","Céphalées"," pathologies neurologiques hors SNP","NEURO02","AVC"," AIT"," hémiplégie et syndrômes apparentés",,,
"G8101","MED-CHIR","Médico-chirurgical","NEURO","Céphalées"," pathologies neurologiques hors SNP","NEURO02","AVC"," AIT"," hémiplégie et syndrômes apparentés",,,
"G8108","MED-CHIR","Médico-chirurgical","NEURO","Céphalées"," pathologies neurologiques hors SNP","NEURO02","AVC"," AIT"," hémiplégie et syndrômes apparentés",,,
"G811","MED-CHIR","Médico-chirurgical","NEURO","Céphalées"," pathologies neurologiques hors SNP","NEURO02","AVC"," AIT"," hémiplégie et syndrômes apparentés",,,
"G819","MED-CHIR","Médico-chirurgical","NEURO","Céphalées"," pathologies neurologiques hors SNP","NEURO02","AVC"," AIT"," hémiplégie et syndrômes apparentés",,,
"G822","MED-CHIR","Médico-chirurgical","NEURO","Céphalées"," pathologies neurologiques hors SNP","NEURO08","Troubles sensitifs"," moteurs et toniques autres",,,,
"G825","MED-CHIR","Médico-chirurgical","NEURO","Céphalées"," pathologies neurologiques hors SNP","NEURO08","Troubles sensitifs"," moteurs et toniques autres",,,,
"G830","MED-CHIR","Médico-chirurgical","NEURO","Céphalées"," pathologies neurologiques hors SNP","NEURO08","Troubles sensitifs"," moteurs et toniques autres",,,,
"G831","MED-CHIR","Médico-chirurgical","NEURO","Céphalées"," pathologies neurologiques hors SNP","NEURO08","Troubles sensitifs"," moteurs et toniques autres",,,,
"G834","MED-CHIR","Médico-chirurgical","NEURO","Céphalées"," pathologies neurologiques hors SNP","NEURO08","Troubles sensitifs"," moteurs et toniques autres",,,,
"G838+0","MED-CHIR","Médico-chirurgical","NEURO","Céphalées"," pathologies neurologiques hors SNP","NEURO08","Troubles sensitifs"," moteurs et toniques autres",,,,
"G839","MED-CHIR","Médico-chirurgical","NEURO","Céphalées"," pathologies neurologiques hors SNP","NEURO08","Troubles sensitifs"," moteurs et toniques autres",,,,
"G902","MED-CHIR","Médico-chirurgical","NEURO","Céphalées"," pathologies neurologiques hors SNP","NEURO08","Troubles sensitifs"," moteurs et toniques autres",,,,
"G912","MED-CHIR","Médico-chirurgical","NEURO","Céphalées"," pathologies neurologiques hors SNP","NEURO03","Comas"," tumeurs"," encéphalopathies et autre atteinte du SNC",,,
"G92","MED-CHIR","Médico-chirurgical","NEURO","Céphalées"," pathologies neurologiques hors SNP","NEURO03","Comas"," tumeurs"," encéphalopathies et autre atteinte du SNC",,,
"G934","MED-CHIR","Médico-chirurgical","NEURO","Céphalées"," pathologies neurologiques hors SNP","NEURO03","Comas"," tumeurs"," encéphalopathies et autre atteinte du SNC",,,
"G936","MED-CHIR","Médico-chirurgical","NEURO","Céphalées"," pathologies neurologiques hors SNP","NEURO03","Comas"," tumeurs"," encéphalopathies et autre atteinte du SNC",,,
"G939","MED-CHIR","Médico-chirurgical","NEURO","Céphalées"," pathologies neurologiques hors SNP","NEURO03","Comas"," tumeurs"," encéphalopathies et autre atteinte du SNC",,,
"G952","MED-CHIR","Médico-chirurgical","NEURO","Céphalées"," pathologies neurologiques hors SNP","NEURO03","Comas"," tumeurs"," encéphalopathies et autre atteinte du SNC",,,
"G960","MED-CHIR","Médico-chirurgical","NEURO","Céphalées"," pathologies neurologiques hors SNP","NEURO03","Comas"," tumeurs"," encéphalopathies et autre atteinte du SNC",,,
"G969","MED-CHIR","Médico-chirurgical","NEURO","Céphalées"," pathologies neurologiques hors SNP","NEURO03","Comas"," tumeurs"," encéphalopathies et autre atteinte du SNC",,,
"G971","MED-CHIR","Médico-chirurgical","NEURO","Céphalées"," pathologies neurologiques hors SNP","NEURO03","Comas"," tumeurs"," encéphalopathies et autre atteinte du SNC",,,
"G98","MED-CHIR","Médico-chirurgical","NEURO","Céphalées"," pathologies neurologiques hors SNP","NEURO03","Comas"," tumeurs"," encéphalopathies et autre atteinte du SNC",,,
"G990","MED-CHIR","Médico-chirurgical","NEURO","Céphalées"," pathologies neurologiques hors SNP","NEURO03","Comas"," tumeurs"," encéphalopathies et autre atteinte du SNC",,,
"H000","MED-CHIR","Médico-chirurgical","ORLOS","ORL"," ophtalmo"," stomato et carrefour aéro-digestif","ORLOS03","Douleur oculaire"," conjonctivites"," autre ophtalmo",,
"H001","MED-CHIR","Médico-chirurgical","ORLOS","ORL"," ophtalmo"," stomato et carrefour aéro-digestif","ORLOS03","Douleur oculaire"," conjonctivites"," autre ophtalmo",,
"H010","MED-CHIR","Médico-chirurgical","ORLOS","ORL"," ophtalmo"," stomato et carrefour aéro-digestif","ORLOS03","Douleur oculaire"," conjonctivites"," autre ophtalmo",,
"H029","MED-CHIR","Médico-chirurgical","ORLOS","ORL"," ophtalmo"," stomato et carrefour aéro-digestif","ORLOS03","Douleur oculaire"," conjonctivites"," autre ophtalmo",,
"H043","MED-CHIR","Médico-chirurgical","ORLOS","ORL"," ophtalmo"," stomato et carrefour aéro-digestif","ORLOS03","Douleur oculaire"," conjonctivites"," autre ophtalmo",,
"H050","MED-CHIR","Médico-chirurgical","ORLOS","ORL"," ophtalmo"," stomato et carrefour aéro-digestif","ORLOS03","Douleur oculaire"," conjonctivites"," autre ophtalmo",,
"H100","MED-CHIR","Médico-chirurgical","ORLOS","ORL"," ophtalmo"," stomato et carrefour aéro-digestif","ORLOS03","Douleur oculaire"," conjonctivites"," autre ophtalmo",,
"H101","MED-CHIR","Médico-chirurgical","ORLOS","ORL"," ophtalmo"," stomato et carrefour aéro-digestif","ORLOS03","Douleur oculaire"," conjonctivites"," autre ophtalmo",,
"H102","MED-CHIR","Médico-chirurgical","ORLOS","ORL"," ophtalmo"," stomato et carrefour aéro-digestif","ORLOS03","Douleur oculaire"," conjonctivites"," autre ophtalmo",,
"H105","MED-CHIR","Médico-chirurgical","ORLOS","ORL"," ophtalmo"," stomato et carrefour aéro-digestif","ORLOS03","Douleur oculaire"," conjonctivites"," autre ophtalmo",,
"H113","MED-CHIR","Médico-chirurgical","ORLOS","ORL"," ophtalmo"," stomato et carrefour aéro-digestif","ORLOS03","Douleur oculaire"," conjonctivites"," autre ophtalmo",,
"H131","MED-CHIR","Médico-chirurgical","ORLOS","ORL"," ophtalmo"," stomato et carrefour aéro-digestif","ORLOS03","Douleur oculaire"," conjonctivites"," autre ophtalmo",,
"H160","MED-CHIR","Médico-chirurgical","ORLOS","ORL"," ophtalmo"," stomato et carrefour aéro-digestif","ORLOS03","Douleur oculaire"," conjonctivites"," autre ophtalmo",,
"H161","MED-CHIR","Médico-chirurgical","ORLOS","ORL"," ophtalmo"," stomato et carrefour aéro-digestif","ORLOS03","Douleur oculaire"," conjonctivites"," autre ophtalmo",,
"H169","MED-CHIR","Médico-chirurgical","ORLOS","ORL"," ophtalmo"," stomato et carrefour aéro-digestif","ORLOS03","Douleur oculaire"," conjonctivites"," autre ophtalmo",,
"H191","MED-CHIR","Médico-chirurgical","ORLOS","ORL"," ophtalmo"," stomato et carrefour aéro-digestif","ORLOS03","Douleur oculaire"," conjonctivites"," autre ophtalmo",,
"H200","MED-CHIR","Médico-chirurgical","ORLOS","ORL"," ophtalmo"," stomato et carrefour aéro-digestif","ORLOS03","Douleur oculaire"," conjonctivites"," autre ophtalmo",,
"H210","MED-CHIR","Médico-chirurgical","ORLOS","ORL"," ophtalmo"," stomato et carrefour aéro-digestif","ORLOS03","Douleur oculaire"," conjonctivites"," autre ophtalmo",,
"H220","MED-CHIR","Médico-chirurgical","ORLOS","ORL"," ophtalmo"," stomato et carrefour aéro-digestif","ORLOS03","Douleur oculaire"," conjonctivites"," autre ophtalmo",,
"H330","MED-CHIR","Médico-chirurgical","ORLOS","ORL"," ophtalmo"," stomato et carrefour aéro-digestif","ORLOS03","Douleur oculaire"," conjonctivites"," autre ophtalmo",,
"H332","MED-CHIR","Médico-chirurgical","ORLOS","ORL"," ophtalmo"," stomato et carrefour aéro-digestif","ORLOS03","Douleur oculaire"," conjonctivites"," autre ophtalmo",,
"H341","MED-CHIR","Médico-chirurgical","ORLOS","ORL"," ophtalmo"," stomato et carrefour aéro-digestif","ORLOS03","Douleur oculaire"," conjonctivites"," autre ophtalmo",,
"H348","MED-CHIR","Médico-chirurgical","ORLOS","ORL"," ophtalmo"," stomato et carrefour aéro-digestif","ORLOS03","Douleur oculaire"," conjonctivites"," autre ophtalmo",,
"H349","MED-CHIR","Médico-chirurgical","ORLOS","ORL"," ophtalmo"," stomato et carrefour aéro-digestif","ORLOS03","Douleur oculaire"," conjonctivites"," autre ophtalmo",,
"H356","MED-CHIR","Médico-chirurgical","ORLOS","ORL"," ophtalmo"," stomato et carrefour aéro-digestif","ORLOS03","Douleur oculaire"," conjonctivites"," autre ophtalmo",,
"H402","MED-CHIR","Médico-chirurgical","ORLOS","ORL"," ophtalmo"," stomato et carrefour aéro-digestif","ORLOS03","Douleur oculaire"," conjonctivites"," autre ophtalmo",,
"H403","MED-CHIR","Médico-chirurgical","ORLOS","ORL"," ophtalmo"," stomato et carrefour aéro-digestif","ORLOS03","Douleur oculaire"," conjonctivites"," autre ophtalmo",,
"H409","MED-CHIR","Médico-chirurgical","ORLOS","ORL"," ophtalmo"," stomato et carrefour aéro-digestif","ORLOS03","Douleur oculaire"," conjonctivites"," autre ophtalmo",,
"H431","MED-CHIR","Médico-chirurgical","ORLOS","ORL"," ophtalmo"," stomato et carrefour aéro-digestif","ORLOS03","Douleur oculaire"," conjonctivites"," autre ophtalmo",,
"H438","MED-CHIR","Médico-chirurgical","ORLOS","ORL"," ophtalmo"," stomato et carrefour aéro-digestif","ORLOS03","Douleur oculaire"," conjonctivites"," autre ophtalmo",,
"H440","MED-CHIR","Médico-chirurgical","ORLOS","ORL"," ophtalmo"," stomato et carrefour aéro-digestif","ORLOS03","Douleur oculaire"," conjonctivites"," autre ophtalmo",,
"H46","MED-CHIR","Médico-chirurgical","ORLOS","ORL"," ophtalmo"," stomato et carrefour aéro-digestif","ORLOS03","Douleur oculaire"," conjonctivites"," autre ophtalmo",,
"H509","MED-CHIR","Médico-chirurgical","ORLOS","ORL"," ophtalmo"," stomato et carrefour aéro-digestif","ORLOS03","Douleur oculaire"," conjonctivites"," autre ophtalmo",,
"H531","MED-CHIR","Médico-chirurgical","ORLOS","ORL"," ophtalmo"," stomato et carrefour aéro-digestif","ORLOS03","Douleur oculaire"," conjonctivites"," autre ophtalmo",,
"H532","MED-CHIR","Médico-chirurgical","ORLOS","ORL"," ophtalmo"," stomato et carrefour aéro-digestif","ORLOS03","Douleur oculaire"," conjonctivites"," autre ophtalmo",,
"H534","MED-CHIR","Médico-chirurgical","ORLOS","ORL"," ophtalmo"," stomato et carrefour aéro-digestif","ORLOS03","Douleur oculaire"," conjonctivites"," autre ophtalmo",,
"H539","MED-CHIR","Médico-chirurgical","ORLOS","ORL"," ophtalmo"," stomato et carrefour aéro-digestif","ORLOS03","Douleur oculaire"," conjonctivites"," autre ophtalmo",,
"H540","MED-CHIR","Médico-chirurgical","ORLOS","ORL"," ophtalmo"," stomato et carrefour aéro-digestif","ORLOS03","Douleur oculaire"," conjonctivites"," autre ophtalmo",,
"H544","MED-CHIR","Médico-chirurgical","ORLOS","ORL"," ophtalmo"," stomato et carrefour aéro-digestif","ORLOS03","Douleur oculaire"," conjonctivites"," autre ophtalmo",,
"H55","MED-CHIR","Médico-chirurgical","ORLOS","ORL"," ophtalmo"," stomato et carrefour aéro-digestif","ORLOS03","Douleur oculaire"," conjonctivites"," autre ophtalmo",,
"H571","MED-CHIR","Médico-chirurgical","ORLOS","ORL"," ophtalmo"," stomato et carrefour aéro-digestif","ORLOS03","Douleur oculaire"," conjonctivites"," autre ophtalmo",,
"H579","MED-CHIR","Médico-chirurgical","ORLOS","ORL"," ophtalmo"," stomato et carrefour aéro-digestif","ORLOS03","Douleur oculaire"," conjonctivites"," autre ophtalmo",,
"H605","MED-CHIR","Médico-chirurgical","ORLOS","ORL"," ophtalmo"," stomato et carrefour aéro-digestif","ORLOS06","Otalgie"," otites et autre pathologies otologiques",,,
"H612","MED-CHIR","Médico-chirurgical","ORLOS","ORL"," ophtalmo"," stomato et carrefour aéro-digestif","ORLOS06","Otalgie"," otites et autre pathologies otologiques",,,
"H650","MED-CHIR","Médico-chirurgical","ORLOS","ORL"," ophtalmo"," stomato et carrefour aéro-digestif","ORLOS06","Otalgie"," otites et autre pathologies otologiques",,,
"H660","MED-CHIR","Médico-chirurgical","ORLOS","ORL"," ophtalmo"," stomato et carrefour aéro-digestif","ORLOS06","Otalgie"," otites et autre pathologies otologiques",,,
"H700","MED-CHIR","Médico-chirurgical","ORLOS","ORL"," ophtalmo"," stomato et carrefour aéro-digestif","ORLOS06","Otalgie"," otites et autre pathologies otologiques",,,
"H709","MED-CHIR","Médico-chirurgical","ORLOS","ORL"," ophtalmo"," stomato et carrefour aéro-digestif","ORLOS06","Otalgie"," otites et autre pathologies otologiques",,,
"H729","MED-CHIR","Médico-chirurgical","ORLOS","ORL"," ophtalmo"," stomato et carrefour aéro-digestif","ORLOS06","Otalgie"," otites et autre pathologies otologiques",,,
"H730","MED-CHIR","Médico-chirurgical","ORLOS","ORL"," ophtalmo"," stomato et carrefour aéro-digestif","ORLOS06","Otalgie"," otites et autre pathologies otologiques",,,
"H810","MED-CHIR","Médico-chirurgical","MLSV","Malaises"," lipothymies"," syncopes"," étourdissements et vertiges","MSLV03","Vertiges et sensations vertigineuses",,,
"H811","MED-CHIR","Médico-chirurgical","MLSV","Malaises"," lipothymies"," syncopes"," étourdissements et vertiges","MSLV03","Vertiges et sensations vertigineuses",,,
